,Unnamed: 0,State,City,Killed,Injured,AvgKilled,AvgInjured,Population,Houses,TotalArea,LandArea,PopDensity,HouseDensity,HousingPrice,NumIncidents,GVRate,LogPop,LogHousingPrice,LogPopDensity
1872,1872,ca,redwoodcity,2.0,3.0,0.18181818181818185,0.2727272727272727,76815.0,29167.0,34.619999999999955,19.419999999999984,3955.5,1501.9,1479394.2884615385,11,3.3694399454763354e-05,4.8854460348900774,6.170083937676403,3.5972013888491157
1914,1914,ca,sancarlos,3.0,0.0,1.0,0.0,28406.0,12018.0,5.539999999999997,5.539999999999997,5129.299999999996,2170.1000000000017,1709538.081632653,3,2.4849762477686985e-05,4.453410082711584,6.232878779574681,3.710058100612717
1920,1920,ca,sanfrancisco,136.0,256.0,0.3349753694581281,0.6305418719211823,805235.0,376942.0,231.8899999999995,46.870000000000154,17179.20000000012,8041.799999999954,1270988.8325123154,406,0.00011863544401908248,5.9059226434850185,6.104141734661337,4.2350029357655945
1934,1934,ca,sanmarino,0.0,0.0,0.0,0.0,13147.0,4477.0,3.770000000000002,3.770000000000002,3489.7999999999993,1188.400000000001,1463663.918367347,3,5.369151539827919e-05,4.11882666293329,6.165441366917395,3.5428005383101056
1936,1936,ca,sanmateo,3.0,4.0,0.21428571428571427,0.2857142857142857,97207.0,40014.0,15.879999999999995,12.129999999999995,8014.0,3298.7999999999993,1307438.0784313723,14,3.388765878032265e-05,4.9876975401517,6.116421129407475,3.903849338096681
1939,1939,ca,sanramon,0.0,1.0,0.0,0.5,72148.0,26222.0,18.080000000000013,18.059999999999977,3994.7000000000025,1451.9000000000005,1203056.0,2,6.5225402685329825e-06,4.858224296607577,6.080285843403803,3.6014841695732285
1943,1943,ca,santaclara,10.0,7.0,0.3225806451612903,0.2258064516129032,116468.0,45147.0,18.410000000000004,18.410000000000004,6327.299999999993,2452.7000000000007,1201402.15625,31,6.262765435191489e-05,5.066206617787536,6.07968840707416,3.801218426407276
1948,1948,ca,santamonica,5.0,9.0,0.38461538461538464,0.6923076923076923,89736.0,50912.0,8.420000000000002,8.410000000000009,10664.099999999991,6050.299999999994,1289176.137254902,13,3.40869163926603e-05,4.952966706865825,6.1103122580919,4.027924208915608
1953,1953,ca,saratoga,4.0,0.0,1.0,0.0,29926.0,11123.0,12.379999999999995,12.379999999999995,2416.899999999998,898.3000000000003,2481389.28,4,3.145012599706728e-05,4.476048671600609,6.394694901674063,3.383258681708175
1954,1954,ca,sausalito,4.0,2.0,1.3333333333333333,0.6666666666666666,7061.0,4536.0,2.2600000000000016,1.77,3987.399999999997,2561.5,1295790.0612244895,3,9.99691761706807e-05,3.848866211494779,6.112534644561372,3.6006898045310005
2007,2007,ca,sunnyvale,7.0,3.0,0.7,0.3,140081.0,55791.0,22.690000000000023,21.99000000000001,6370.900000000002,2537.399999999998,1545482.16,10,1.679700442223134e-05,5.146379233396147,6.18906399622671,3.8042007882889117
2030,2030,ca,topanga,0.0,0.0,0.0,0.0,8289.0,3750.0,19.139999999999986,19.13,433.29999999999967,196.0,1193421.8163265309,1,2.838630928303279e-05,3.918502139636174,6.076793972693286,2.6367886890343746
2129,2129,co,aspen,0.0,0.0,0.0,0.0,6658.0,5929.0,3.8700000000000023,3.8700000000000023,1718.8000000000013,1530.6,1783101.5102040817,4,0.00014136023889880375,3.8233437908206485,6.251176067834131,3.235225345011866
2142,2142,co,blackhawk,2.0,1.0,0.6666666666666666,0.3333333333333333,118.0,69.0,1.9399999999999984,1.9399999999999984,60.699999999999974,35.5,257477.7142857143,3,0.005982053838484547,2.0718820073061255,5.410739645099205,1.7831886910752575
2176,2176,co,cotopaxi,0.0,1.0,0.0,1.0,47.0,46.0,0.3100000000000001,0.3100000000000001,150.10000000000014,146.89999999999986,242380.95918367343,1,0.0050062578222778474,1.6720978579357175,5.384498499791851,2.1763806922432707
