,State,County,Killed,Injured,AvgKilled,AvgInjured,Population,Houses,LandArea,PopDensity,HousingPrice,NumIncidents,NumCities
al-bibb,al,bibb,5.0,1.0,1.0,0.2,10393.0,3626.0,29.87999999999998,347.82463186077666,108233.7025248489,5,4
or-lane,or,lane,36.0,40.0,0.2608695652173913,0.2898550724637681,255565.0,113626.0,82.08999999999992,3113.22938238519,279797.99268268707,138,12
ma-nantucket,ma,nantucket,0.0,0.0,,,8809.0,9086.0,25.389999999999965,346.9476171721155,1492872.5102040817,0,1
tx-menard,tx,menard,0.0,0.0,,,1471.0,828.0,2.0600000000000005,714.0776699029125,155888.8148148148,0,1
ks-marion,ks,marion,1.0,1.0,0.3333333333333333,0.3333333333333333,8221.0,3792.0,9.790000000000004,839.7344228804899,81336.56092310342,3,12
wi-polk,wi,polk,16.0,1.0,0.8888888888888888,0.05555555555555555,16248.083333333332,8085.083333333333,152.3283333333335,106.66487959123373,167876.19570947086,18,11
id-benewah,id,benewah,0.0,1.0,0.0,0.5,1342.0,533.0,2.400000000000001,559.1666666666665,135401.99084887237,2,3
nc-franklin,nc,franklin,8.0,4.0,0.6153846153846154,0.3076923076923077,6972.0,3174.0,6.7499999999999964,1032.8888888888894,152119.0142548513,13,5
ms-panola,ms,panola,13.0,17.0,0.4642857142857143,0.6071428571428571,12056.0,5088.0,26.44000000000002,455.9757942511343,102474.94607335063,28,6
ga-burke,ga,burke,11.0,15.0,0.5,0.6818181818181818,7522.0,3120.0,13.169999999999991,571.1465451784362,87270.74137885925,22,5
in-warrick,in,warrick,5.0,3.0,0.5,0.3,14250.0,6519.0,8.719999999999999,1634.1743119266057,138996.83551377294,10,6
ms-warren,ms,warren,20.0,46.0,0.29850746268656714,0.6865671641791045,23856.0,10992.0,32.98000000000001,723.3474833232259,120016.80722891568,67,1
fl-escambia,fl,escambia,48.0,82.0,0.24,0.41,54898.0,28131.0,32.72999999999996,1677.2991139627272,143455.33854095044,200,3
in-tipton,in,tipton,0.0,1.0,0.0,1.0,6048.0,2880.0,2.9000000000000004,2085.5172413793102,116177.31383928572,1,3
ne-gosper,ne,gosper,0.0,0.0,,,707.0,312.0,0.5199999999999997,1359.6153846153854,220441.32653061228,0,1
ms-lowndes,ms,lowndes,24.0,48.0,0.24,0.48,25762.0,11819.0,27.00999999999996,953.7948907811937,105670.04426358073,100,4
sc-spartanburg,sc,spartanburg,63.0,151.0,0.19936708860759494,0.4778481012658228,73521.0,34092.0,69.15,1063.2104121475054,124458.01432712299,316,17
ny-newyork,ny,newyork,189.0,756.0,0.17027027027027028,0.6810810810810811,9713036.0,4108751.666666666,15817.290000000125,614.0771269920399,631437.4906666668,1110,1
tx-ward,tx,ward,0.0,0.0,,,8750.0,3824.0,32.35000000000002,270.4791344667695,95081.71525259876,0,6
